Certificate Name,Type,URL,Emails Found,Error
Unknown Certificate,text,https://wontry.en.made-in-china.com/custom-detail/QmExEnJrMQlnJQJEnxmyGxLE/CE-certificate.html,,
Unknown Certificate,text,https://wontry.en.made-in-china.com/custom-detail/QmExEnJrMQlnJQJEnxmyGxLE/CE-certificate.html,,
Unknown Certificate,text,https://wontry.en.made-in-china.com/custom-detail/QmExEnJrMQlnJQJEnxmyGxLE/CE-certificate.html,,
Unknown Certificate,text,https://wontry.en.made-in-china.com/custom-detail/QmExEnJrMQlnJQJEnxmyGxLE/CE-certificate.html,,
Unknown Certificate,text,https://www.made-in-china.com/audited-suppliers/for-buyers/,,
SGS,text,https://www.made-in-china.com/audited-suppliers/for-buyers/,,
Verify Now,text,https://auditedsupplier.sgsgroup.com.cn/,,
Unknown Certificate,text,https://www.made-in-china.com/audited-suppliers/for-suppliers/,,
duct Certificate,text,https://membercenter.made-in-china.com/product.do?xcase=list,,
lier Certificate,image,https://www.micstatic.com/common/img/icon-new/as_32.png?_v=1755167868766,,pytesseract not installed
SGS Certificate,text,https://www.made-in-china.com/audited-suppliers/for-buyers/,,
HINA Certificate,image,https://image.made-in-china.com/211f0j00hvYEWtVrmzkU/MADE-in-CHINA-AUDITED-SUPPLIER.webp,,pytesseract not installed
HINA Certificate,image,https://image.made-in-china.com/211f0j00hvYEWtVrmzkU/MADE-in-CHINA-AUDITED-SUPPLIER.webp,,pytesseract not installed
HINA Certificate,image,https://image.made-in-china.com/211f0j00hvYEWtVrmzkU/MADE-in-CHINA-AUDITED-SUPPLIER.webp,,pytesseract not installed
HINA Certificate,image,https://image.made-in-china.com/211f0j00hvYEWtVrmzkU/MADE-in-CHINA-AUDITED-SUPPLIER.webp,,pytesseract not installed
duct Certificate,text,https://membercenter.made-in-china.com/product.do?xcase=list,,
duct Certificate,text,https://membercenter.made-in-china.com/product.do?xcase=list,,
