2025-08-13 20:38:19 | INFO | Database initialized successfully
2025-08-13 20:38:19 | INFO | Starting search for keyword: hair dryer
2025-08-13 20:38:19 | INFO | Searching for keyword: hair dryer
2025-08-13 20:38:21 | INFO | Found 30 products with selector: .products-item
2025-08-13 20:40:49 | INFO | Page 1: Found 30 listings
2025-08-13 20:40:53 | INFO | Found 30 products with selector: .products-item
2025-08-13 20:43:00 | INFO | Page 2: Found 30 listings
2025-08-13 20:43:03 | INFO | Found 12 products with selector: .products-item
2025-08-13 20:44:06 | INFO | Page 3: Found 12 listings
2025-08-13 20:44:09 | INFO | Found 30 products with selector: .products-item
2025-08-13 20:44:40 | ERROR | Error getting seller details with requests: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-13 20:46:37 | INFO | Page 4: Found 30 listings
2025-08-13 20:46:40 | INFO | Found 30 products with selector: .products-item
2025-08-13 20:51:29 | INFO | Page 5: Found 30 listings
2025-08-13 20:51:31 | INFO | Found 132 listings for 'hair dryer'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
2025-08-13 20:51:31 | ERROR | Error saving product listing to database: 'ProductListing' object has no attribute 'units_available'
